Accumulator, Total count, Average count
RUN_EM, 255967634124, 255967634124.000000
LDA_INFERENCE, 251700155664, 9718152.728340
DIGAMMA, 69823623708, 150.382652
LOG_SUM, 63638178392, 141.633044
LOG_GAMMA, The code inside this timer has not been called, 0
DOC_E_STEP, 252327485920, 10012995.473016
LIKELIHOOD, 49748003838, 799588.598582
MLE, 3713601584, 100367610.378378
OPT_ALPHA, 22754058, 632057.166667
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 62217, 2.402201
ALPHA_CONVERGE, 33028, 917.444444
