Accumulator, Total count, Average count
RUN_EM, 1170949900002, 1170949900002.000000
LDA_INFERENCE, 1166176425514, 19436273758.566666
DIGAMMA, 237610564416, 195.398572
LOG_SUM, 278678591122, 231.511016
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 21186, 151.328571
DOC_E_STEP, 1168751822938, 19479197048.966667
LIKELIHOOD, 92360360314, 77031159.561301
MLE, 1995883508, 285126215.428571
OPT_ALPHA, 120338, 20056.333333
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1199, 19.983333
ALPHA_CONVERGE, 70, 11.666667
