Accumulator, Total count, Average count
RUN_EM, 1427757702280, 1427757702280.000000
LDA_INFERENCE, 1421820711132, 23697011852.200001
DIGAMMA, 283128598376, 195.457312
LOG_SUM, 332639925652, 231.592196
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20622, 149.434783
DOC_E_STEP, 1425121624464, 23752027074.400002
LIKELIHOOD, 116510820052, 98989651.700935
MLE, 2393195932, 341885133.142857
OPT_ALPHA, 119818, 19969.666667
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1177, 19.616667
ALPHA_CONVERGE, 69, 11.500000
