Accumulator, Total count, Average count
RUN_EM, 2223492950260, 2223492950260.000000
LDA_INFERENCE, 2214136275220, 31630518217.428570
DIGAMMA, 432138271884, 191.115395
LOG_SUM, 508501814432, 226.326589
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 23858, 145.475610
DOC_E_STEP, 2219545945090, 31707799215.571430
LIKELIHOOD, 186183873188, 134138237.167147
MLE, 3589759534, 448719941.750000
OPT_ALPHA, 137360, 19622.857143
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1388, 19.828571
ALPHA_CONVERGE, 82, 11.714286
