Accumulator, Total count, Average count
RUN_EM, 690007625396, 690007625396.000000
LDA_INFERENCE, 687217261440, 11453621024.000000
DIGAMMA, 137710326218, 190.562899
LOG_SUM, 160624796454, 226.063795
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20182, 146.246377
DOC_E_STEP, 688726360752, 11478772679.200001
LIKELIHOOD, 55723145514, 47626620.097436
MLE, 1165152182, 166450311.714286
OPT_ALPHA, 118658, 19776.333333
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1170, 19.500000
ALPHA_CONVERGE, 69, 11.500000
