Accumulator, Total count, Average count
RUN_EM, 718606972722, 718606972722.000000
LDA_INFERENCE, 664787112200, 16619677805.000000
DIGAMMA, 117470893046, 61.054978
LOG_SUM, 195682011066, 101.963463
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 8034, 66.950000
DOC_E_STEP, 672172976108, 16804324402.700001
LIKELIHOOD, 52283331698, 556205656.361702
MLE, 25695357384, 5139071476.800000
OPT_ALPHA, 45886, 11471.500000
EM_CONVERGE, 4, 4.000000
INFERENCE_CONVERGE, 94, 2.350000
ALPHA_CONVERGE, 60, 15.000000
