Accumulator, Total count, Average count
RUN_EM, 16745079464176, 16745079464176.000000
LDA_INFERENCE, 16669501275806, 238135732511.514282
DIGAMMA, 2763910325334, 193.153453
LOG_SUM, 3413518246818, 239.754668
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27182, 194.157143
DOC_E_STEP, 16724984049782, 238928343568.314301
LIKELIHOOD, 1923186121220, 1373704372.300000
MLE, 18255491468, 2281936433.500000
OPT_ALPHA, 121780, 17397.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 70, 10.000000
