Accumulator, Total count, Average count
RUN_EM, 31805318507632, 31805318507632.000000
LDA_INFERENCE, 31651382384834, 452162605497.628601
DIGAMMA, 5456395031328, 190.657705
LOG_SUM, 6450327085530, 225.957500
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27198, 191.535211
DOC_E_STEP, 31765720325086, 453796004644.085693
LIKELIHOOD, 2922138140034, 2087241528.595714
MLE, 35922813480, 4490351685.000000
OPT_ALPHA, 122550, 17507.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
