Accumulator, Total count, Average count
RUN_EM, 2824999456738, 2824999456738.000000
LDA_INFERENCE, 2776672983138, 39666756901.971428
DIGAMMA, 251358707752, 187.346812
LOG_SUM, 1061268945408, 192.642742
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 22568, 165.941176
DOC_E_STEP, 2797752179600, 39967888280.000000
LIKELIHOOD, 243425532586, 173875380.418571
MLE, 6104518746, 763064843.250000
OPT_ALPHA, 150956, 21565.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
