Accumulator, Total count, Average count
RUN_EM, 1811269208268, 1811269208268.000000
LDA_INFERENCE, 1762995613924, 25185651627.485714
DIGAMMA, 357355170630, 66.595927
LOG_SUM, 357141033878, 64.828645
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 15906, 116.955882
DOC_E_STEP, 1783538080652, 25479115437.885715
LIKELIHOOD, 169580746690, 121129104.778571
MLE, 6737227864, 842153483.000000
OPT_ALPHA, 87774, 12539.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
