Accumulator, Total count, Average count
RUN_EM, 1524801122176, 1524801122176.000000
LDA_INFERENCE, 1489643588796, 21280622697.085712
DIGAMMA, 341967440652, 95.592440
LOG_SUM, 359601875136, 96.657715
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 18956, 139.382353
DOC_E_STEP, 1504101581856, 21487165455.085712
LIKELIHOOD, 113391137044, 80993669.317143
MLE, 4569616518, 571202064.750000
OPT_ALPHA, 83564, 11937.714286
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
