Accumulator, Total count, Average count
RUN_EM, 2354087651134, 2354087651134.000000
LDA_INFERENCE, 2292133036304, 32744757661.485714
DIGAMMA, 468636193314, 65.500516
LOG_SUM, 475024453270, 65.092914
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 16356, 120.264706
DOC_E_STEP, 2318430788552, 33120439836.457142
LIKELIHOOD, 225690741358, 161207672.398571
MLE, 8955561012, 1119445126.500000
OPT_ALPHA, 84120, 12017.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
