Accumulator, Total count, Average count
RUN_EM, 2915873449994, 2915873449994.000000
LDA_INFERENCE, 2910676716860, 35670057.804657
DIGAMMA, 312710158784, 196.312630
LOG_SUM, 1376623198204, 235.909545
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 184666, 147.496805
DOC_E_STEP, 2915239415306, 35725973.226789
LIKELIHOOD, 145470361552, 174354.441373
MLE, 494224872, 10086221.877551
OPT_ALPHA, 987226, 20567.208333
EM_CONVERGE, 48, 48.000000
INFERENCE_CONVERGE, 834337, 10.224718
ALPHA_CONVERGE, 626, 13.041667
