Accumulator, Total count, Average count
RUN_EM, 1163810503590, 1163810503590.000000
LDA_INFERENCE, 1161046538152, 31464675.830678
DIGAMMA, 119556688292, 188.606897
LOG_SUM, 551899082148, 237.738997
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 160220, 148.351852
DOC_E_STEP, 1163247355202, 31524318.569160
LIKELIHOOD, 58434220268, 175288.637713
MLE, 486826874, 11591116.047619
OPT_ALPHA, 871594, 21258.390244
EM_CONVERGE, 41, 41.000000
INFERENCE_CONVERGE, 333360, 9.034146
ALPHA_CONVERGE, 540, 13.170732
