Accumulator, Total count, Average count
RUN_EM, 215073334510, 215073334510.000000
LDA_INFERENCE, 214045019014, 22296356.147292
DIGAMMA, 22061987676, 186.775942
LOG_SUM, 101703984296, 235.639564
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 122946, 147.064593
DOC_E_STEP, 214562048000, 22350213.333333
LIKELIHOOD, 10841661338, 164967.457973
MLE, 448497982, 13590847.939394
OPT_ALPHA, 662346, 20698.312500
EM_CONVERGE, 32, 32.000000
INFERENCE_CONVERGE, 65720, 6.845833
ALPHA_CONVERGE, 418, 13.062500
