Accumulator, Total count, Average count
RUN_EM, 765515628362, 765515628362.000000
LDA_INFERENCE, 763422397826, 28700090.143835
DIGAMMA, 78555030316, 187.000413
LOG_SUM, 362863671694, 235.977035
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 146574, 147.162651
DOC_E_STEP, 764988744266, 28758975.348346
LIKELIHOOD, 38433156846, 171982.748750
MLE, 432372688, 11086479.179487
OPT_ALPHA, 791700, 20834.210526
EM_CONVERGE, 38, 38.000000
INFERENCE_CONVERGE, 223471, 8.401165
ALPHA_CONVERGE, 498, 13.105263
