Accumulator, Total count, Average count
RUN_EM, 3780601376516, 3780601376516.000000
LDA_INFERENCE, 3719833559146, 53140479416.371429
DIGAMMA, 336272712178, 187.977296
LOG_SUM, 1514425100826, 207.522670
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 22304, 164.000000
DOC_E_STEP, 3746715049592, 53524500708.457146
LIKELIHOOD, 267436157288, 191025826.634286
MLE, 6795501830, 849437728.750000
OPT_ALPHA, 166738, 23819.714286
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
