Accumulator, Total count, Average count
RUN_EM, 7728809136, 7728809136.000000
LDA_INFERENCE, 7641798268, 5458427.334286
DIGAMMA, 922293548, 187.629498
LOG_SUM, 3455041554, 237.063491
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 50518, 147.713450
DOC_E_STEP, 7659582634, 5471130.452857
LIKELIHOOD, 327661258, 27737.345128
MLE, 166612548, 11107503.200000
OPT_ALPHA, 261532, 18680.857143
EM_CONVERGE, 14, 14.000000
INFERENCE_CONVERGE, 11813, 8.437857
ALPHA_CONVERGE, 171, 12.214286
