Accumulator, Total count, Average count
RUN_EM, 844232352346, 844232352346.000000
LDA_INFERENCE, 785295627296, 19632390682.400002
DIGAMMA, 134469425472, 61.384851
LOG_SUM, 220872672966, 101.083814
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 7630, 68.125000
DOC_E_STEP, 798145535994, 19953638399.849998
LIKELIHOOD, 81662361136, 763199636.785047
MLE, 25607379164, 5121475832.800000
OPT_ALPHA, 48428, 12107.000000
EM_CONVERGE, 4, 4.000000
INFERENCE_CONVERGE, 107, 2.675000
ALPHA_CONVERGE, 56, 14.000000
