Accumulator, Total count, Average count
RUN_EM, 2413945011262, 2413945011262.000000
LDA_INFERENCE, 2404067405054, 54637895.569409
DIGAMMA, 581679078220, 195.414192
LOG_SUM, 673653716880, 232.930762
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 151226, 142.129699
DOC_E_STEP, 2412726435150, 54834691.707955
LIKELIHOOD, 113145608280, 273441.896550
MLE, 1244661962, 30357608.829268
OPT_ALPHA, 759890, 18997.250000
EM_CONVERGE, 40, 40.000000
INFERENCE_CONVERGE, 413783, 9.404159
ALPHA_CONVERGE, 532, 13.300000
