Accumulator, Total count, Average count
RUN_EM, 3817368001296, 3817368001296.000000
LDA_INFERENCE, 3806389635306, 57672570.231909
DIGAMMA, 927274090566, 193.822517
LOG_SUM, 1074334360162, 231.106444
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 177022, 151.300855
DOC_E_STEP, 3816033646384, 57818691.611879
LIKELIHOOD, 177086657138, 266048.879668
MLE, 1337633242, 29725183.155556
OPT_ALPHA, 829236, 18846.272727
EM_CONVERGE, 44, 44.000000
INFERENCE_CONVERGE, 665617, 10.085106
ALPHA_CONVERGE, 585, 13.295455
