Accumulator, Total count, Average count
RUN_EM, 5295984209772, 5295984209772.000000
LDA_INFERENCE, 5281083314566, 60424294.217002
DIGAMMA, 1284433245692, 193.563421
LOG_SUM, 1487065248102, 230.614261
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 169948, 139.990115
DOC_E_STEP, 5294552677410, 60578405.920023
LIKELIHOOD, 246739245620, 267640.351207
MLE, 1437104716, 30576696.085106
OPT_ALPHA, 855492, 18597.652174
EM_CONVERGE, 46, 46.000000
INFERENCE_CONVERGE, 921906, 10.548124
ALPHA_CONVERGE, 607, 13.195652
