Accumulator, Total count, Average count
RUN_EM, 2584830049410, 2584830049410.000000
LDA_INFERENCE, 2578046511322, 62879183.202976
DIGAMMA, 637719995578, 234.570843
LOG_SUM, 749497784478, 283.590744
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 181430, 168.929236
DOC_E_STEP, 2581127820078, 62954337.075073
LIKELIHOOD, 278374823860, 738655.344883
MLE, 3656290026, 87054524.428571
OPT_ALPHA, 935168, 22808.975610
EM_CONVERGE, 41, 41.000000
INFERENCE_CONVERGE, 376867, 9.191878
ALPHA_CONVERGE, 537, 13.097561
