Accumulator, Total count, Average count
RUN_EM, 89538551612, 89538551612.000000
LDA_INFERENCE, 117517652906, 26708557.478636
DIGAMMA, 21258389926, 48.546858
LOG_SUM, 30255084034, 71.058828
LOG_GAMMA, The code inside this timer has not been called, 0
DOC_E_STEP, 89485439649, 27116799.893636
LIKELIHOOD, 11184265651, 187542.183429
EM_CONVERGE, 3, 3.000000
INFERENCE_CONVERGE, 59636, 13.553636
