Accumulator, Total count, Average count
RUN_EM, 176616080590, 176616080590.000000
LDA_INFERENCE, 174150449306, 2902507488.433333
DIGAMMA, 14298333418, 187.748480
LOG_SUM, 64578711946, 196.711098
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 19932, 148.746269
DOC_E_STEP, 175429856756, 2923830945.933333
LIKELIHOOD, 25534488882, 21296487.808173
MLE, 445346842, 63620977.428571
OPT_ALPHA, 130384, 21730.666667
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1199, 19.983333
ALPHA_CONVERGE, 67, 11.166667
