Accumulator, Total count, Average count
RUN_EM, 329028362198, 329028362198.000000
LDA_INFERENCE, 323577738686, 4622539124.085714
DIGAMMA, 27278815704, 192.637143
LOG_SUM, 118711731974, 200.025123
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 24786, 154.912500
DOC_E_STEP, 325871098772, 4655301411.028571
LIKELIHOOD, 47802753746, 34440024.312680
MLE, 748573732, 93571716.500000
OPT_ALPHA, 159604, 22800.571429
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1388, 19.828571
ALPHA_CONVERGE, 80, 11.428571
