Accumulator, Total count, Average count
RUN_EM, 213220310460, 213220310460.000000
LDA_INFERENCE, 210348008726, 3505800145.433333
DIGAMMA, 17045831284, 187.901757
LOG_SUM, 78740209708, 203.865200
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 19744, 147.343284
DOC_E_STEP, 211839080388, 3530651339.800000
LIKELIHOOD, 30436898034, 25859726.451997
MLE, 495191050, 70741578.571429
OPT_ALPHA, 132346, 22057.666667
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1177, 19.616667
ALPHA_CONVERGE, 67, 11.166667
