Accumulator, Total count, Average count
RUN_EM, 1984207059482, 1984207059482.000000
LDA_INFERENCE, 1977125176002, 52304898.836032
DIGAMMA, 480084512626, 196.749749
LOG_SUM, 552806474852, 233.199519
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 167142, 147.391534
DOC_E_STEP, 1982916189178, 52458100.242804
LIKELIHOOD, 97705171048, 287207.651748
MLE, 1224743924, 28482416.837209
OPT_ALPHA, 835604, 19895.333333
EM_CONVERGE, 42, 42.000000
INFERENCE_CONVERGE, 340190, 8.999735
ALPHA_CONVERGE, 567, 13.500000
