Accumulator, Total count, Average count
RUN_EM, 96902640734, 96902640734.000000
LDA_INFERENCE, 95816504182, 31938834.727333
DIGAMMA, 23248052060, 193.012518
LOG_SUM, 26619462452, 227.791343
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 115344, 143.462687
DOC_E_STEP, 96287111302, 32095703.767333
LIKELIHOOD, 4708252754, 266575.288982
MLE, 572044022, 18453032.967742
OPT_ALPHA, 576892, 19229.733333
EM_CONVERGE, 30, 30.000000
INFERENCE_CONVERGE, 17662, 5.887333
ALPHA_CONVERGE, 402, 13.400000
