Accumulator, Total count, Average count
RUN_EM, 1280736302062, 1280736302062.000000
LDA_INFERENCE, 1275862293726, 47964747.884436
DIGAMMA, 310988875942, 196.751056
LOG_SUM, 357778879416, 233.046346
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 148418, 145.507843
DOC_E_STEP, 1279584034296, 48104662.943459
LIKELIHOOD, 62970723088, 282303.967937
MLE, 1095460362, 28088727.230769
OPT_ALPHA, 759548, 19988.105263
EM_CONVERGE, 38, 38.000000
INFERENCE_CONVERGE, 223060, 8.385714
ALPHA_CONVERGE, 510, 13.421053
