Accumulator, Total count, Average count
RUN_EM, 1128557425438, 1128557425438.000000
LDA_INFERENCE, 1108699830420, 13858747880.250000
DIGAMMA, 96339022818, 188.487620
LOG_SUM, 434569440324, 196.843642
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 24622, 155.835443
DOC_E_STEP, 1117678127548, 13970976594.350000
LIKELIHOOD, 96107756374, 60067347.733750
MLE, 2350369128, 261152125.333333
OPT_ALPHA, 168386, 21048.250000
EM_CONVERGE, 8, 8.000000
INFERENCE_CONVERGE, 1600, 20.000000
ALPHA_CONVERGE, 79, 9.875000
