Accumulator, Total count, Average count
RUN_EM, 1896302208312, 1896302208312.000000
LDA_INFERENCE, 1862054008070, 26600771543.857143
DIGAMMA, 167580236770, 187.355376
LOG_SUM, 721476818940, 193.926410
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 21302, 156.632353
DOC_E_STEP, 1876571040524, 26808157721.771427
LIKELIHOOD, 150068236118, 107191597.227143
MLE, 3751336890, 468917111.250000
OPT_ALPHA, 148658, 21236.857143
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
