Accumulator, Total count, Average count
RUN_EM, 16507088072154, 16507088072154.000000
LDA_INFERENCE, 16431450338680, 234735004838.285706
DIGAMMA, 2724541520706, 190.402198
LOG_SUM, 3209732324452, 225.441393
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20686, 147.757143
DOC_E_STEP, 16487085236364, 235529789090.914276
LIKELIHOOD, 1989863991832, 1421331422.737143
MLE, 18129258366, 2266157295.750000
OPT_ALPHA, 115352, 16478.857143
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 70, 10.000000
