Accumulator, Total count, Average count
RUN_EM, 24607828708548, 24607828708548.000000
LDA_INFERENCE, 24488427941404, 349834684877.200012
DIGAMMA, 4081454866178, 190.152606
LOG_SUM, 4821914274352, 225.406386
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20878, 147.028169
DOC_E_STEP, 24577863417824, 351112334540.342834
LIKELIHOOD, 2391800601876, 1708429001.340000
MLE, 27146817266, 3393352158.250000
OPT_ALPHA, 118610, 16944.285714
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
