Accumulator, Total count, Average count
RUN_EM, 8620371953922, 8620371953922.000000
LDA_INFERENCE, 8584936083656, 107311701045.699997
DIGAMMA, 1558536990452, 190.604716
LOG_SUM, 1827860461854, 225.805137
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 24568, 151.654321
DOC_E_STEP, 8609280758878, 107616009485.975006
LIKELIHOOD, 811048417258, 506905260.786250
MLE, 10103310752, 1122590083.555556
OPT_ALPHA, 136982, 17122.750000
EM_CONVERGE, 8, 8.000000
INFERENCE_CONVERGE, 1600, 20.000000
ALPHA_CONVERGE, 81, 10.125000
