Accumulator, Total count, Average count
RUN_EM, 5913822815338, 5913822815338.000000
LDA_INFERENCE, 5898418824708, 70809349.636351
DIGAMMA, 1475632263130, 242.893424
LOG_SUM, 1693667568682, 286.914971
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 17148636, 174.986082
DOC_E_STEP, 5910551013178, 70954994.155798
LIKELIHOOD, 562722873882, 664105.168978
MLE, 3220631426, 64412628.520000
OPT_ALPHA, 80215282, 1637046.571429
EM_CONVERGE, 49, 49.000000
INFERENCE_CONVERGE, 847340, 10.172149
ALPHA_CONVERGE, 49000, 1000.000000
