Accumulator, Total count, Average count
RUN_EM, 1104288866444, 1104288866444.000000
LDA_INFERENCE, 1101128294120, 53976877.162745
DIGAMMA, 276311928838, 240.804524
LOG_SUM, 315983372514, 283.586005
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 11080352, 172.973743
DOC_E_STEP, 1102764523732, 54057084.496667
LIKELIHOOD, 99041216726, 605112.704070
MLE, 1529606422, 43703040.628571
OPT_ALPHA, 51908116, 1526709.294118
EM_CONVERGE, 34, 34.000000
INFERENCE_CONVERGE, 163674, 8.023235
ALPHA_CONVERGE, 32029, 942.029412
