Accumulator, Total count, Average count
RUN_EM, 6508208640020, 6508208640020.000000
LDA_INFERENCE, 6492940878576, 72709304.351355
DIGAMMA, 1617636811288, 241.278225
LOG_SUM, 1861252237970, 285.694864
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 16268746, 176.803447
DOC_E_STEP, 6504878405868, 72842983.268399
LIKELIHOOD, 636924854020, 683089.401985
MLE, 3282907570, 68393907.708333
OPT_ALPHA, 75576692, 1608014.723404
EM_CONVERGE, 47, 47.000000
INFERENCE_CONVERGE, 932418, 10.441411
ALPHA_CONVERGE, 46008, 978.893617
