Accumulator, Total count, Average count
RUN_EM, 423528347642, 423528347642.000000
LDA_INFERENCE, 421780156820, 43935433.002083
DIGAMMA, 106454352196, 240.899380
LOG_SUM, 121213437020, 282.692362
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 10368696, 172.707975
DOC_E_STEP, 422435714516, 44003720.262083
LIKELIHOOD, 35159939186, 536653.680510
MLE, 1102847346, 33419616.545455
OPT_ALPHA, 48927694, 1528990.437500
EM_CONVERGE, 32, 32.000000
INFERENCE_CONVERGE, 65517, 6.824687
ALPHA_CONVERGE, 30018, 938.062500
