Accumulator, Total count, Average count
RUN_EM, 918004454470, 918004454470.000000
LDA_INFERENCE, 915178162528, 50843231.251556
DIGAMMA, 230200424260, 246.857697
LOG_SUM, 262679056018, 290.165133
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 12374406, 176.736832
DOC_E_STEP, 916529419648, 50918301.091556
LIKELIHOOD, 79755775590, 590748.515569
MLE, 1475412314, 39876008.486486
OPT_ALPHA, 58224922, 1617358.944444
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 135008, 7.500444
ALPHA_CONVERGE, 35008, 972.444444
