-4096496.5318596764	  inf
-3502372.9678497142	1.45032e-01
-3371837.6259243349	3.72705e-02
-3312017.7602847787	1.77410e-02
-3280126.4872674518	9.62896e-03
-3261235.6582090594	5.75918e-03
-3249174.0755392201	3.69847e-03
-3241088.7768236678	2.48842e-03
-3235165.5112199099	1.82755e-03
-3230676.6192526515	1.38753e-03
-3227145.5974519779	1.09297e-03
-3224207.8097756510	9.10336e-04
-3221616.7300580293	8.03633e-04
-3219431.0682295682	6.78436e-04
-3217683.0543296002	5.42957e-04
-3216189.4656146318	4.64181e-04
-3214907.5170564097	3.98592e-04
-3213692.3996989522	3.77963e-04
-3212630.5019964008	3.30429e-04
-3211636.9611672242	3.09261e-04
-3210735.8256601822	2.80584e-04
-3209924.0681860042	2.52826e-04
-3209176.4066054421	2.32922e-04
-3208442.6157146767	2.28654e-04
-3207776.4926787890	2.07616e-04
-3207202.4014168675	1.78969e-04
-3206695.0438774140	1.58193e-04
-3206113.4346440346	1.81373e-04
-3205590.6889097844	1.63047e-04
-3205067.8442363320	1.63104e-04
-3204561.3020998631	1.58044e-04
-3204218.3355476051	1.07024e-04
-3203831.4592157691	1.20740e-04
-3203469.4247144419	1.13000e-04
-3203090.6872910862	1.18227e-04
-3202807.5903194444	8.83824e-05
