Accumulator, Total count, Average count
RUN_EM, 1855097038318, 1855097038318.000000
LDA_INFERENCE, 1869928131548, 35415305.521742
DIGAMMA, 442197945854, 122.735186
LOG_SUM, 476257605832, 136.053182
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 44632, 39.708185
DOC_E_STEP, 1851033478536, 35872741.832093
LIKELIHOOD, 380782206510, 757856.976690
MLE, 4020390014, 91372500.318182
OPT_ALPHA, 584080, 13583.255814
EM_CONVERGE, 43, 43.000000
INFERENCE_CONVERGE, 502446, 9.516023
ALPHA_CONVERGE, 562, 13.069767
