Accumulator, Total count, Average count
RUN_EM, 461953035026, 461953035026.000000
LDA_INFERENCE, 473328873894, 27047364.222514
DIGAMMA, 113926638456, 123.716079
LOG_SUM, 120033529494, 134.255199
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 35028, 39.357303
DOC_E_STEP, 459091220456, 27005365.909176
LIKELIHOOD, 96466457064, 722157.021313
MLE, 2848455112, 81384431.771429
OPT_ALPHA, 480730, 14139.117647
EM_CONVERGE, 34, 34.000000
INFERENCE_CONVERGE, 133581, 7.633200
ALPHA_CONVERGE, 445, 13.088235
