Accumulator, Total count, Average count
RUN_EM, 2772239406398, 2772239406398.000000
LDA_INFERENCE, 2804454770834, 37293281.527048
DIGAMMA, 676388515922, 122.895112
LOG_SUM, 710534775206, 132.860085
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 46746, 39.150754
DOC_E_STEP, 2767833622234, 37606435.084701
LIKELIHOOD, 570160903950, 742991.016190
MLE, 4352841596, 92613650.978723
OPT_ALPHA, 620478, 13488.652174
EM_CONVERGE, 46, 46.000000
INFERENCE_CONVERGE, 767386, 10.204601
ALPHA_CONVERGE, 597, 12.978261
