Accumulator, Total count, Average count
RUN_EM, 2879155074954, 2879155074954.000000
LDA_INFERENCE, 2923429876704, 37384013.768593
DIGAMMA, 708643748792, 123.231041
LOG_SUM, 739008820942, 132.253539
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 46704, 40.192771
DOC_E_STEP, 2874787353850, 37578919.658170
LIKELIHOOD, 596182253230, 744116.292825
MLE, 4315860158, 93823046.913043
OPT_ALPHA, 645596, 14346.577778
EM_CONVERGE, 45, 45.000000
INFERENCE_CONVERGE, 801195, 10.245460
ALPHA_CONVERGE, 581, 12.911111
