Accumulator, Total count, Average count
RUN_EM, 1912327042258, 1912327042258.000000
LDA_INFERENCE, 1947269305644, 36880100.485682
DIGAMMA, 465021773522, 127.413475
LOG_SUM, 506226389726, 142.752980
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 46424, 40.439024
DOC_E_STEP, 1908691471304, 36990144.792713
LIKELIHOOD, 387855452072, 763953.657357
MLE, 3620004082, 82272820.045455
OPT_ALPHA, 612780, 14250.697674
EM_CONVERGE, 43, 43.000000
INFERENCE_CONVERGE, 507695, 9.615436
ALPHA_CONVERGE, 574, 13.348837
