Accumulator, Total count, Average count
RUN_EM, 341664854196, 341664854196.000000
LDA_INFERENCE, 345826184864, 25428395.945882
DIGAMMA, 83080189908, 126.025672
LOG_SUM, 90590930660, 141.571400
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 34816, 39.384615
DOC_E_STEP, 339280655818, 25703079.986212
LIKELIHOOD, 69577714206, 720736.237981
MLE, 2412766152, 70963710.352941
OPT_ALPHA, 471860, 14298.787879
EM_CONVERGE, 33, 33.000000
INFERENCE_CONVERGE, 96537, 7.098309
ALPHA_CONVERGE, 442, 13.393939
