Accumulator, Total count, Average count
RUN_EM, 3308412433424, 3308412433424.000000
LDA_INFERENCE, 3364039727292, 38935644.991806
DIGAMMA, 816056336040, 126.120620
LOG_SUM, 871210126838, 138.560174
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 49346, 39.540064
DOC_E_STEP, 3304387551894, 39058954.514113
LIKELIHOOD, 673784463882, 748726.772747
MLE, 4013501672, 83614618.166667
OPT_ALPHA, 661966, 14084.382979
EM_CONVERGE, 47, 47.000000
INFERENCE_CONVERGE, 899907, 10.415590
ALPHA_CONVERGE, 624, 13.276596
