Accumulator, Total count, Average count
RUN_EM, 851136415832, 851136415832.000000
LDA_INFERENCE, 798351461856, 19958786546.400002
DIGAMMA, 136671432066, 62.390060
LOG_SUM, 225138248386, 103.035983
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 8114, 72.446429
DOC_E_STEP, 805690912226, 20142272805.650002
LIKELIHOOD, 85097706528, 795305668.485981
MLE, 25818458006, 5163691601.200000
OPT_ALPHA, 41210, 10302.500000
EM_CONVERGE, 4, 4.000000
INFERENCE_CONVERGE, 107, 2.675000
ALPHA_CONVERGE, 56, 14.000000
