Accumulator, Total count, Average count
RUN_EM, 832240289462, 832240289462.000000
LDA_INFERENCE, 774592420290, 19364810507.250000
DIGAMMA, 133384310768, 60.889500
LOG_SUM, 219394410154, 100.407278
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 7628, 68.107143
DOC_E_STEP, 787064411608, 19676610290.200001
LIKELIHOOD, 80129577154, 748874552.841122
MLE, 25158660650, 5031732130.000000
OPT_ALPHA, 49050, 12262.500000
EM_CONVERGE, 4, 4.000000
INFERENCE_CONVERGE, 107, 2.675000
ALPHA_CONVERGE, 56, 14.000000
