Accumulator, Total count, Average count
RUN_EM, 272606221498, 272606221498.000000
LDA_INFERENCE, 249668468714, 8322282290.466666
DIGAMMA, 42813026326, 60.744879
LOG_SUM, 70803462882, 100.967400
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 6048, 67.200000
DOC_E_STEP, 254635721322, 8487857377.400000
LIKELIHOOD, 25790952518, 373781920.550725
MLE, 10162979474, 2540744868.500000
OPT_ALPHA, 36400, 12133.333333
EM_CONVERGE, 3, 3.000000
INFERENCE_CONVERGE, 69, 2.300000
ALPHA_CONVERGE, 45, 15.000000
