Accumulator, Total count, Average count
RUN_EM, 1915057258018, 1915057258018.000000
LDA_INFERENCE, 1911338803854, 34192107.403470
DIGAMMA, 196498324906, 186.885244
LOG_SUM, 908767470536, 235.960353
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 164948, 147.538462
DOC_E_STEP, 1914488145428, 34248446.250948
LIKELIHOOD, 96038778030, 174060.548667
MLE, 452904708, 10293288.818182
OPT_ALPHA, 894514, 20802.651163
EM_CONVERGE, 43, 43.000000
INFERENCE_CONVERGE, 551755, 9.870394
ALPHA_CONVERGE, 559, 13.000000
