Accumulator, Total count, Average count
RUN_EM, 1771876694490, 1771876694490.000000
LDA_INFERENCE, 1723077256696, 24615389381.371429
DIGAMMA, 353069994684, 65.797351
LOG_SUM, 326961224770, 59.350372
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 15442, 113.544118
DOC_E_STEP, 1743744163766, 24910630910.942856
LIKELIHOOD, 183077423132, 130769587.951429
MLE, 7272643538, 909080442.250000
OPT_ALPHA, 84902, 12128.857143
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
