Accumulator, Total count, Average count
RUN_EM, 5150117506516, 5150117506516.000000
LDA_INFERENCE, 5138707369164, 69819393.602772
DIGAMMA, 1266500958480, 233.642326
LOG_SUM, 1483101995780, 281.564806
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 197270, 165.217755
DOC_E_STEP, 5145669306882, 69913985.147853
LIKELIHOOD, 567333515228, 753582.079843
MLE, 4361136426, 92790136.723404
OPT_ALPHA, 1106632, 24057.217391
EM_CONVERGE, 46, 46.000000
INFERENCE_CONVERGE, 752849, 10.228927
ALPHA_CONVERGE, 597, 12.978261
