Accumulator, Total count, Average count
RUN_EM, 273332546232, 273332546232.000000
LDA_INFERENCE, 271863375284, 39979908.130000
DIGAMMA, 68429313112, 238.662188
LOG_SUM, 78294166024, 281.504704
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 10773764, 173.434707
DOC_E_STEP, 272283426786, 40041680.409706
LIKELIHOOD, 21447810850, 504535.658669
MLE, 940914540, 26883272.571429
OPT_ALPHA, 50925356, 1497804.588235
EM_CONVERGE, 34, 34.000000
INFERENCE_CONVERGE, 42510, 6.251471
ALPHA_CONVERGE, 31060, 913.529412
