Accumulator, Total count, Average count
RUN_EM, 2573355113162, 2573355113162.000000
LDA_INFERENCE, 2565572205178, 64139305.129450
DIGAMMA, 631486121732, 237.285121
LOG_SUM, 739713736354, 286.081203
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 174862, 167.492337
DOC_E_STEP, 2569538954486, 64238473.862150
LIKELIHOOD, 283208171406, 767899.295858
MLE, 3760674906, 91723778.195122
OPT_ALPHA, 975928, 24398.200000
EM_CONVERGE, 40, 40.000000
INFERENCE_CONVERGE, 368809, 9.220225
ALPHA_CONVERGE, 522, 13.050000
