Accumulator, Total count, Average count
RUN_EM, 4063405560634, 4063405560634.000000
LDA_INFERENCE, 4053455498568, 68936318.002857
DIGAMMA, 996090932558, 235.388061
LOG_SUM, 1168101169810, 284.086206
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 179802, 166.175601
DOC_E_STEP, 4059285555660, 69035468.633673
LIKELIHOOD, 453599775548, 769608.876208
MLE, 4050825466, 94205243.395349
OPT_ALPHA, 1003828, 23900.666667
EM_CONVERGE, 42, 42.000000
INFERENCE_CONVERGE, 589390, 10.023639
ALPHA_CONVERGE, 541, 12.880952
