Accumulator, Total count, Average count
RUN_EM, 4142873900686, 4142873900686.000000
LDA_INFERENCE, 4132250457862, 69101178.225117
DIGAMMA, 1008943868844, 239.551702
LOG_SUM, 1194982598800, 292.004829
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 204748, 169.213223
DOC_E_STEP, 4138397312316, 69203968.433378
LIKELIHOOD, 459346573634, 783410.660730
MLE, 4392145558, 93449905.489362
OPT_ALPHA, 1157650, 25166.304348
EM_CONVERGE, 46, 46.000000
INFERENCE_CONVERGE, 586342, 9.805050
ALPHA_CONVERGE, 605, 13.152174
