Accumulator, Total count, Average count
RUN_EM, 12935708920264, 12935708920264.000000
LDA_INFERENCE, 12853903664342, 183627195204.885712
DIGAMMA, 2801705353974, 195.794725
LOG_SUM, 3269794286690, 229.659954
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27184, 194.171429
DOC_E_STEP, 12912908785198, 184470125502.828583
LIKELIHOOD, 1449953214188, 1035680867.277143
MLE, 20991830516, 2623978814.500000
OPT_ALPHA, 118364, 16909.142857
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 70, 10.000000
