Accumulator, Total count, Average count
RUN_EM, 25937754608930, 25937754608930.000000
LDA_INFERENCE, 25778794239464, 368268489135.200012
DIGAMMA, 5592490980174, 195.413178
LOG_SUM, 6544521432962, 229.257165
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27790, 195.704225
DOC_E_STEP, 25896604138118, 369951487687.400024
LIKELIHOOD, 2950047199080, 2107176570.771429
MLE, 37595840606, 4699480075.750000
OPT_ALPHA, 122456, 17493.714286
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
